Year,NOC,Sport,Bronze,Silver,Gold,Total Medals,Participants,Male Participants,Female Participants,Weighted Total
1900,BEL,Archery,1,4,9,14,4,4,0,68
1900,BEL,Cycling,0,0,0,0,1,1,0,0
1900,BEL,Equestrian,1,3,4,8,11,11,0,35
1900,BEL,Fencing,0,0,0,0,5,5,0,0
1900,BEL,Football,9,0,0,9,9,9,0,18
1900,BEL,Gymnastics,0,0,0,0,2,2,0,0
1900,BEL,Rowing,0,9,0,9,9,9,0,27
1900,BEL,Shooting,6,1,0,7,11,11,0,15
1900,BOH,Athletics,0,1,0,1,4,4,0,3
1900,BOH,Cycling,0,0,0,0,1,1,0,0
1900,BOH,Gymnastics,0,0,0,0,1,1,0,0
1900,BOH,Tennis,3,0,0,3,1,0,1,6
1900,BRA,Athletics,0,0,0,0,1,1,0,0
1900,CAN,Athletics,3,0,2,5,4,4,0,18
1900,COL,Tug of War,0,1,0,1,1,1,0,3
1900,CUB,Fencing,0,1,2,3,1,1,0,15
1900,DEN,Aquatics,1,0,0,1,1,1,0,2
1900,DEN,Athletics,1,0,2,3,4,4,0,14
1900,DEN,Fencing,0,0,0,0,1,1,0,0
1900,DEN,Shooting,5,15,6,26,5,5,0,91
1900,DEN,Tug of War,0,0,3,3,3,3,0,18
1900,ESP,Basque Pelota,0,0,2,2,2,2,0,12
1900,ESP,Equestrian,0,0,0,0,1,1,0,0
1900,ESP,Fencing,0,0,0,0,1,1,0,0
1900,ESP,Rowing,0,0,0,0,5,5,0,0
1900,FRA,Aquatics,38,11,1,50,58,58,0,115
1900,FRA,Archery,5,8,5,18,13,13,0,64
1900,FRA,Athletics,4,10,0,14,21,21,0,38
1900,FRA,Cricket,0,3,0,3,3,3,0,9
1900,FRA,Croquet,3,3,5,11,10,7,3,45
1900,FRA,Cycling,3,1,2,6,58,58,0,21
1900,FRA,Equestrian,5,2,3,10,37,36,1,34
1900,FRA,Fencing,7,7,8,22,209,209,0,83
1900,FRA,Football,0,13,0,13,13,13,0,39
1900,FRA,Golf,0,0,0,0,7,2,5,0
1900,FRA,Gymnastics,1,2,1,4,108,108,0,14
1900,FRA,Polo,4,1,0,5,7,7,0,11
1900,FRA,Rowing,3,14,11,28,41,41,0,114
1900,FRA,Rugby,0,3,15,18,15,15,0,99
1900,FRA,Sailing,58,78,13,149,73,73,0,428
1900,FRA,Shooting,22,28,3,53,33,33,0,146
1900,FRA,Tennis,2,4,0,6,14,11,3,16
1900,FRA,Tug of War,0,5,0,5,5,5,0,15
1900,GBR,Aquatics,5,1,19,25,8,8,0,127
1900,GBR,Athletics,4,9,12,25,10,10,0,107
1900,GBR,Cricket,1,9,12,22,21,21,0,101
1900,GBR,Cycling,0,1,0,1,1,1,0,3
1900,GBR,Equestrian,0,0,0,0,1,1,0,0
1900,GBR,Fencing,0,0,0,0,3,3,0,0
1900,GBR,Football,1,0,11,12,12,12,0,68
1900,GBR,Golf,1,1,0,2,5,5,0,5
1900,GBR,Gymnastics,0,0,0,0,4,4,0,0
1900,GBR,Polo,1,2,3,6,6,6,0,26
1900,GBR,Rowing,1,0,0,1,1,1,0,2
1900,GBR,Rugby,0,15,0,15,15,15,0,45
1900,GBR,Sailing,4,4,38,46,10,10,0,248
1900,GBR,Shooting,0,0,0,0,1,1,0,0
1900,GBR,Tennis,11,5,10,26,6,5,1,97
1900,GER,Aquatics,0,0,6,6,10,10,0,36
1900,GER,Athletics,0,0,0,0,6,6,0,0
1900,GER,Cycling,0,1,0,1,3,3,0,3
1900,GER,Equestrian,0,0,0,0,1,1,0,0
1900,GER,Fencing,0,0,0,0,1,1,0,0
1900,GER,Gymnastics,0,0,4,4,14,14,0,24
1900,GER,Rowing,17,1,9,27,21,21,0,91
1900,GER,Rugby,0,15,0,15,15,15,0,45
1900,GER,Sailing,0,11,4,15,5,5,0,57
1900,GRE,Athletics,2,2,0,4,2,2,0,10
1900,GRE,Golf,0,0,0,0,1,1,0,0
1900,HAI,Fencing,0,0,0,0,2,2,0,0
1900,HAI,Rugby,0,0,1,1,1,1,0,6
1900,HUN,Aquatics,2,4,0,6,1,1,0,16
1900,HUN,Athletics,1,0,1,2,9,9,0,8
1900,HUN,Fencing,0,0,0,0,6,6,0,0
1900,HUN,Gymnastics,0,0,0,0,2,2,0,0
1900,IND,Athletics,0,4,0,4,1,1,0,12
1900,IRI,Fencing,0,0,0,0,1,1,0,0
1900,ITA,Aquatics,0,0,0,0,2,2,0,0
1900,ITA,Athletics,0,0,0,0,2,2,0,0
1900,ITA,Cycling,0,0,1,1,7,7,0,6
1900,ITA,Equestrian,0,3,2,5,3,2,1,21
1900,ITA,Fencing,0,1,1,2,8,8,0,9
1900,ITA,Gymnastics,0,0,0,0,1,1,0,0
1900,LUX,Athletics,0,0,1,1,1,1,0,6
1900,MEX,Polo,6,0,0,6,1,1,0,12
1900,NED,Aquatics,1,0,0,1,4,4,0,2
1900,NED,Archery,0,0,0,0,6,6,0,0
1900,NED,Fencing,0,0,0,0,1,1,0,0
1900,NED,Football,1,0,0,1,1,1,0,2
1900,NED,Rowing,9,6,7,22,13,13,0,78
1900,NED,Sailing,0,6,0,6,3,3,0,18
1900,NED,Shooting,20,0,0,20,7,7,0,40
1900,NOR,Athletics,1,2,0,3,2,2,0,8
1900,NOR,Shooting,7,21,0,28,5,5,0,77
1900,NZL,Aquatics,0,0,1,1,1,1,0,6
1900,PER,Fencing,0,0,0,0,1,1,0,0
1900,ROU,Shooting,0,0,0,0,1,1,0,0
1900,RUS,Equestrian,0,0,0,0,2,2,0,0
1900,RUS,Fencing,0,0,0,0,2,2,0,0
1900,SUI,Fencing,0,0,0,0,3,3,0,0
1900,SUI,Gymnastics,0,0,0,0,3,3,0,0
1900,SUI,Sailing,0,3,6,9,3,2,1,45
1900,SUI,Shooting,7,3,45,55,9,9,0,293
1900,SWE,Aquatics,0,0,0,0,1,1,0,0
1900,SWE,Athletics,1,0,8,9,8,8,0,50
1900,SWE,Fencing,0,0,0,0,1,1,0,0
1900,SWE,Tug of War,0,0,3,3,3,3,0,18
1900,USA,Aquatics,0,0,0,0,1,1,0,0
1900,USA,Athletics,22,37,43,102,41,41,0,413
1900,USA,Cycling,2,0,0,2,1,1,0,4
1900,USA,Fencing,0,0,0,0,3,3,0,0
1900,USA,Golf,1,1,2,4,9,4,5,17
1900,USA,Polo,1,1,2,4,4,4,0,17
1900,USA,Rowing,0,1,14,15,9,9,0,87
1900,USA,Rugby,0,0,1,1,1,1,0,6
1900,USA,Sailing,2,0,0,2,2,2,0,4
1900,USA,Tennis,3,1,3,7,5,3,2,27
1904,AUS,Aquatics,1,9,0,10,1,1,0,29
1904,AUS,Athletics,0,0,0,0,1,1,0,0
1904,AUT,Aquatics,3,6,0,9,1,1,0,24
1904,AUT,Gymnastics,0,2,5,7,1,1,0,36
1904,CAN,Athletics,0,0,1,1,6,6,0,6
1904,CAN,Football,0,0,13,13,13,13,0,78
1904,CAN,Golf,0,0,1,1,2,2,0,6
1904,CAN,Lacrosse,12,0,12,24,24,24,0,96
1904,CAN,Rowing,1,9,2,12,9,9,0,41
1904,CAN,Wrestling,0,0,0,0,1,1,0,0
1904,CUB,Athletics,0,0,0,0,1,1,0,0
1904,CUB,Fencing,0,3,12,15,2,2,0,81
1904,FRA,Athletics,0,3,0,3,1,1,0,9
1904,GBR,Athletics,0,1,1,2,3,3,0,9
1904,GBR,Fencing,0,0,0,0,1,1,0,0
1904,GBR,Golf,0,0,0,0,2,2,0,0
1904,GER,Aquatics,5,6,6,17,6,6,0,64
1904,GER,Athletics,2,0,0,2,2,2,0,4
1904,GER,Fencing,0,0,0,0,1,1,0,0
1904,GER,Gymnastics,1,3,0,4,9,9,0,11
1904,GER,Tennis,0,0,0,0,1,1,0,0
1904,GER,Tug of War,1,0,0,1,1,1,0,2
1904,GER,Weightlifting,5,0,0,5,1,1,0,10
1904,GER,Wrestling,3,1,0,4,3,3,0,9
1904,GRE,Athletics,1,0,0,1,10,10,0,2
1904,GRE,Tug of War,0,0,0,0,5,5,0,0
1904,GRE,Weightlifting,0,0,1,1,1,1,0,6
1904,HUN,Aquatics,4,5,3,12,2,2,0,41
1904,HUN,Athletics,2,0,0,2,2,2,0,4
1904,ITA,Cycling,0,0,0,0,1,1,0,0
1904,NFL,Athletics,0,0,0,0,1,1,0,0
1904,NOR,Gymnastics,0,0,0,0,1,1,0,0
1904,NOR,Wrestling,0,0,2,2,2,2,0,12
1904,RSA,Athletics,0,0,0,0,3,3,0,0
1904,RSA,Tug of War,0,0,0,0,5,5,0,0
1904,SUI,Gymnastics,3,0,1,4,2,2,0,12
1904,SUI,Wrestling,1,0,0,1,1,1,0,2
1904,USA,Aquatics,28,25,29,82,33,33,0,305
1904,USA,Archery,17,15,30,62,29,23,6,259
1904,USA,Athletics,35,46,69,150,86,86,0,622
1904,USA,Boxing,4,9,11,24,18,18,0,101
1904,USA,Cycling,28,28,28,84,17,17,0,308
1904,USA,Fencing,9,15,5,29,7,7,0,93
1904,USA,Football,13,12,3,28,23,23,0,80
1904,USA,Golf,18,19,17,54,72,72,0,195
1904,USA,Gymnastics,35,29,63,127,107,107,0,535
1904,USA,Lacrosse,0,12,0,12,12,12,0,36
1904,USA,Roque,1,1,1,3,4,4,0,11
1904,USA,Rowing,9,10,26,45,35,35,0,204
1904,USA,Tennis,8,6,6,20,35,35,0,70
1904,USA,Tug of War,4,5,5,14,19,19,0,53
1904,USA,Weightlifting,0,3,2,5,3,3,0,21
1904,USA,Wrestling,8,6,6,20,35,35,0,70
1906,AUS,Aquatics,3,0,0,3,1,1,0,6
1906,AUS,Athletics,3,0,0,3,3,3,0,6
1906,AUT,Aquatics,3,0,3,6,5,5,0,24
1906,AUT,Athletics,0,2,0,2,10,10,0,6
1906,AUT,Cycling,0,0,0,0,4,4,0,0
1906,AUT,Fencing,0,1,0,1,3,3,0,3
1906,AUT,Shooting,0,0,0,0,2,2,0,0
1906,AUT,Tug of War,0,0,0,0,8,8,0,0
1906,AUT,Weightlifting,0,1,2,3,1,1,0,15
1906,AUT,Wrestling,1,2,2,5,8,8,0,20
1906,BEL,Athletics,0,2,0,2,2,2,0,6
1906,BEL,Cycling,3,0,0,3,3,3,0,6
1906,BEL,Fencing,4,0,3,7,5,5,0,26
1906,BEL,Rowing,0,2,0,2,2,2,0,6
1906,BEL,Shooting,0,0,0,0,1,1,0,0
1906,BEL,Weightlifting,2,0,0,2,1,1,0,4
1906,BEL,Wrestling,1,0,0,1,3,3,0,2
1906,BOH,Athletics,0,0,0,0,5,5,0,0
1906,BOH,Fencing,0,0,0,0,1,1,0,0
1906,BOH,Gymnastics,0,0,0,0,1,1,0,0
1906,BOH,Shooting,0,0,0,0,1,1,0,0
1906,BOH,Tennis,4,0,0,4,3,3,0,8
1906,BOH,Wrestling,0,0,0,0,2,2,0,0
1906,CAN,Athletics,0,1,1,2,3,3,0,9
1906,CRT,Athletics,0,0,0,0,8,8,0,0
1906,CRT,Shooting,0,0,0,0,1,1,0,0
1906,DEN,Aquatics,0,0,0,0,2,2,0,0
1906,DEN,Athletics,0,0,0,0,4,4,0,0
1906,DEN,Cycling,0,0,0,0,1,1,0,0
1906,DEN,Fencing,0,0,0,0,3,3,0,0
1906,DEN,Football,1,1,13,15,12,12,0,83
1906,DEN,Gymnastics,0,20,0,20,18,18,0,60
1906,DEN,Rowing,0,0,0,0,6,6,0,0
1906,DEN,Wrestling,1,3,3,7,3,3,0,29
1906,EGY,Athletics,0,0,0,0,1,1,0,0
1906,EGY,Cycling,0,0,0,0,1,1,0,0
1906,EGY,Wrestling,0,0,0,0,1,1,0,0
1906,FIN,Athletics,3,0,2,5,3,3,0,18
1906,FIN,Wrestling,0,1,2,3,1,1,0,15
1906,FRA,Aquatics,1,0,0,1,2,2,0,2
1906,FRA,Athletics,1,1,1,3,14,14,0,11
1906,FRA,Cycling,13,5,7,25,7,7,0,83
1906,FRA,Fencing,4,3,17,24,5,5,0,119
1906,FRA,Football,0,3,0,3,3,3,0,9
1906,FRA,Gymnastics,3,0,3,6,4,4,0,24
1906,FRA,Rowing,20,6,4,30,11,11,0,82
1906,FRA,Shooting,65,51,28,144,7,7,0,451
1906,FRA,Tennis,0,6,8,14,4,3,1,66
1906,FRA,Weightlifting,1,0,0,1,1,1,0,2
1906,FRA,Wrestling,0,0,0,0,2,2,0,0
1906,GBR,Aquatics,7,5,12,24,8,8,0,101
1906,GBR,Athletics,3,12,5,20,19,19,0,72
1906,GBR,Cycling,0,9,7,16,5,5,0,69
1906,GBR,Fencing,0,4,0,4,5,5,0,12
1906,GBR,Football,0,8,0,8,8,8,0,24
1906,GBR,Gymnastics,0,0,0,0,2,2,0,0
1906,GBR,Rowing,0,1,0,1,1,1,0,3
1906,GBR,Shooting,3,0,3,6,2,2,0,24
1906,GER,Aquatics,2,10,5,17,8,8,0,64
1906,GER,Athletics,8,2,19,29,15,15,0,136
1906,GER,Cycling,5,4,0,9,8,8,0,22
1906,GER,Fencing,0,8,6,14,5,5,0,60
1906,GER,Gymnastics,3,3,6,12,13,13,0,51
1906,GER,Tug of War,0,0,8,8,8,8,0,48
1906,GER,Weightlifting,4,0,4,8,2,2,0,32
1906,GER,Wrestling,0,0,2,2,2,2,0,12
1906,GRE,Aquatics,0,0,0,0,8,8,0,0
1906,GRE,Athletics,11,9,4,24,75,75,0,73
1906,GRE,Cycling,0,0,2,2,10,10,0,12
1906,GRE,Fencing,2,5,6,13,13,13,0,55
1906,GRE,Football,11,0,0,11,22,22,0,22
1906,GRE,Gymnastics,1,0,1,2,19,19,0,8
1906,GRE,Rowing,7,25,17,49,115,115,0,191
1906,GRE,Shooting,10,20,20,50,26,26,0,200
1906,GRE,Tennis,5,9,2,16,14,9,5,49
1906,GRE,Tug of War,0,8,0,8,8,8,0,24
1906,GRE,Weightlifting,2,0,2,4,6,6,0,16
1906,GRE,Wrestling,1,1,0,2,9,9,0,5
1906,HUN,Aquatics,3,7,8,18,6,6,0,75
1906,HUN,Athletics,5,8,1,14,12,12,0,40
1906,HUN,Fencing,2,0,0,2,5,5,0,4
1906,HUN,Gymnastics,0,1,0,1,8,8,0,3
1906,HUN,Shooting,0,0,0,0,2,2,0,0
1906,HUN,Tennis,0,0,0,0,1,1,0,0
1906,HUN,Wrestling,1,0,0,1,3,3,0,2
1906,ITA,Aquatics,0,0,0,0,3,3,0,0
1906,ITA,Athletics,0,0,0,0,6,6,0,0
1906,ITA,Cycling,0,0,6,6,3,3,0,36
1906,ITA,Fencing,2,1,0,3,2,2,0,7
1906,ITA,Gymnastics,9,3,0,12,19,19,0,27
1906,ITA,Rowing,17,3,27,47,32,32,0,205
1906,ITA,Shooting,0,2,0,2,10,10,0,6
1906,ITA,Weightlifting,0,2,0,2,1,1,0,6
1906,NED,Fencing,7,2,0,9,13,13,0,20
1906,NED,Tennis,0,0,0,0,3,3,0,0
1906,NOR,Athletics,1,0,4,5,7,7,0,26
1906,NOR,Gymnastics,3,2,22,27,20,20,0,144
1906,NOR,Shooting,4,24,0,28,7,7,0,80
1906,SUI,Athletics,0,0,0,0,1,1,0,0
1906,SUI,Cycling,0,0,0,0,2,2,0,0
1906,SUI,Shooting,8,5,62,75,6,6,0,403
1906,SWE,Aquatics,1,0,0,1,15,15,0,2
1906,SWE,Athletics,18,7,3,28,13,13,0,75
1906,SWE,Cycling,0,0,0,0,1,1,0,0
1906,SWE,Fencing,0,0,0,0,2,2,0,0
1906,SWE,Shooting,3,27,16,46,2,2,0,183
1906,SWE,Tug of War,8,0,0,8,8,8,0,16
1906,SWE,Weightlifting,1,0,0,1,1,1,0,2
1906,TUR,Athletics,0,0,0,0,1,1,0,0
1906,USA,Aquatics,4,2,8,14,4,4,0,62
1906,USA,Athletics,21,36,73,130,31,31,0,588
1906,USA,Tennis,0,0,0,0,2,2,0,0
1906,USA,Wrestling,0,0,1,1,2,2,0,6
1908,ANZ,Aquatics,2,4,0,6,5,5,0,16
1908,ANZ,Athletics,4,0,0,4,9,9,0,8
1908,ANZ,Boxing,0,1,0,1,1,1,0,3
1908,ANZ,Rugby,0,0,15,15,15,15,0,90
1908,ANZ,Shooting,0,0,0,0,1,1,0,0
1908,ARG,Skating,0,0,0,0,1,1,0,0
1908,AUT,Aquatics,5,0,3,8,1,1,0,28
1908,AUT,Athletics,0,0,0,0,2,2,0,0
1908,AUT,Fencing,1,0,0,1,1,1,0,2
1908,AUT,Tennis,0,0,0,0,3,3,0,0
1908,BEL,Aquatics,0,18,0,18,11,11,0,54
1908,BEL,Athletics,0,3,0,3,6,6,0,9
1908,BEL,Cycling,1,0,0,1,6,6,0,2
1908,BEL,Fencing,10,0,0,10,18,18,0,20
1908,BEL,Gymnastics,0,0,0,0,2,2,0,0
1908,BEL,Rowing,0,12,0,12,10,10,0,36
1908,BEL,Sailing,0,3,0,3,3,3,0,9
1908,BEL,Shooting,6,8,3,17,10,10,0,54
1908,BEL,Wrestling,1,0,0,1,4,4,0,2
1908,BOH,Athletics,0,0,0,0,3,3,0,0
1908,BOH,Fencing,7,0,0,7,7,7,0,14
1908,BOH,Gymnastics,0,0,0,0,2,2,0,0
1908,BOH,Tennis,1,0,0,1,4,4,0,2
1908,BOH,Wrestling,0,0,0,0,4,4,0,0
1908,CAN,Aquatics,0,0,0,0,1,1,0,0
1908,CAN,Athletics,6,6,1,13,27,27,0,36
1908,CAN,Cycling,15,0,0,15,5,5,0,30
1908,CAN,Fencing,0,0,0,0,1,1,0,0
1908,CAN,Gymnastics,0,0,0,0,2,2,0,0
1908,CAN,Lacrosse,0,0,12,12,12,12,0,72
1908,CAN,Rowing,20,1,2,23,13,13,0,55
1908,CAN,Shooting,7,9,4,20,22,22,0,65
1908,CAN,Tennis,0,0,0,0,3,3,0,0
1908,CAN,Wrestling,1,0,0,1,1,1,0,2
1908,DEN,Aquatics,0,4,0,4,5,5,0,12
1908,DEN,Athletics,0,1,0,1,8,8,0,3
1908,DEN,Boxing,0,0,0,0,2,2,0,0
1908,DEN,Fencing,2,0,2,4,8,8,0,16
1908,DEN,Football,0,14,3,17,13,13,0,60
1908,DEN,Gymnastics,1,9,1,11,24,24,0,35
1908,DEN,Shooting,0,2,2,4,10,10,0,18
1908,DEN,Wrestling,4,2,2,8,10,10,0,26
1908,FIN,Aquatics,0,0,0,0,5,5,0,0
1908,FIN,Athletics,10,0,4,14,15,15,0,44
1908,FIN,Gymnastics,26,0,0,26,31,31,0,52
1908,FIN,Shooting,0,0,0,0,9,9,0,0
1908,FIN,Wrestling,1,2,2,5,4,4,0,20
1908,FRA,Aquatics,0,0,0,0,4,4,0,0
1908,FRA,Archery,2,1,1,4,15,15,0,13
1908,FRA,Athletics,5,5,0,10,19,19,0,25
1908,FRA,Boxing,0,0,0,0,7,7,0,0
1908,FRA,Cycling,5,8,9,22,23,23,0,88
1908,FRA,Fencing,2,2,15,19,22,22,0,100
1908,FRA,Field hockey,0,0,0,0,12,12,0,0
1908,FRA,Football,0,0,0,0,22,22,0,0
1908,FRA,Gymnastics,3,0,0,3,59,59,0,6
1908,FRA,Sailing,3,0,0,3,3,3,0,6
1908,FRA,Shooting,38,11,8,57,20,20,0,157
1908,FRA,Tennis,0,1,1,2,1,1,0,9
1908,FRA,Water Motorsports,0,0,1,1,1,1,0,6
1908,GBR,Aquatics,10,6,27,43,50,50,0,200
1908,GBR,Archery,1,2,2,5,41,16,25,20
1908,GBR,Athletics,11,15,17,43,126,126,0,169
1908,GBR,Boxing,5,5,6,16,32,32,0,61
1908,GBR,Cycling,3,8,21,32,36,36,0,156
1908,GBR,Fencing,0,8,0,8,23,23,0,24
1908,GBR,Field hockey,22,13,11,46,45,45,0,149
1908,GBR,Football,0,0,11,11,11,11,0,66
1908,GBR,Gymnastics,0,3,0,3,65,65,0,9
1908,GBR,Jeu de Paume,1,1,0,2,9,9,0,5
1908,GBR,Lacrosse,0,12,0,12,12,12,0,36
1908,GBR,Polo,0,10,4,14,12,12,0,54
1908,GBR,Rackets,5,4,4,13,7,7,0,46
1908,GBR,Rowing,9,7,19,35,30,30,0,153
1908,GBR,Rugby,0,16,0,16,15,15,0,48
1908,GBR,Sailing,5,12,22,39,39,38,1,178
1908,GBR,Shooting,28,24,25,77,67,67,0,278
1908,GBR,Skating,4,3,2,9,11,7,4,29
1908,GBR,Tennis,9,11,15,35,22,14,8,141
1908,GBR,Tug of War,8,8,8,24,24,24,0,88
1908,GBR,Water Motorsports,0,0,9,9,13,12,1,54
1908,GBR,Wrestling,7,7,8,22,53,53,0,83
1908,GER,Aquatics,1,1,3,5,10,10,0,23
1908,GER,Athletics,3,5,0,8,20,20,0,21
1908,GER,Cycling,4,19,0,23,9,9,0,65
1908,GER,Fencing,0,0,10,10,10,10,0,60
1908,GER,Field hockey,0,0,0,0,11,11,0,0
1908,GER,Gymnastics,1,1,1,3,11,11,0,11
1908,GER,Rowing,3,0,0,3,3,3,0,6
1908,GER,Shooting,0,0,0,0,1,1,0,0
1908,GER,Skating,0,1,2,3,3,1,2,15
1908,GER,Tennis,0,2,0,2,5,5,0,6
1908,GER,Wrestling,0,0,0,0,1,1,0,0
1908,GRE,Athletics,8,12,4,24,12,12,0,76
1908,GRE,Cycling,0,0,0,0,1,1,0,0
1908,GRE,Shooting,1,10,8,19,7,7,0,80
1908,HUN,Aquatics,2,12,10,24,10,10,0,100
1908,HUN,Athletics,9,5,0,14,19,19,0,33
1908,HUN,Fencing,3,1,7,11,8,8,0,51
1908,HUN,Gymnastics,0,0,0,0,6,6,0,0
1908,HUN,Rowing,1,0,0,1,11,11,0,2
1908,HUN,Shooting,0,0,0,0,2,2,0,0
1908,HUN,Tennis,0,0,0,0,3,3,0,0
1908,HUN,Wrestling,0,0,1,1,7,7,0,6
1908,ISL,Wrestling,0,0,0,0,1,1,0,0
1908,ITA,Aquatics,0,0,0,0,5,5,0,0
1908,ITA,Athletics,0,3,0,3,12,12,0,9
1908,ITA,Cycling,0,0,0,0,4,4,0,0
1908,ITA,Fencing,0,5,0,5,11,11,0,15
1908,ITA,Gymnastics,0,2,1,3,32,32,0,12
1908,ITA,Rowing,0,0,0,0,1,1,0,0
1908,ITA,Wrestling,0,0,1,1,1,1,0,6
1908,NED,Aquatics,0,0,0,0,10,10,0,0
1908,NED,Athletics,0,0,0,0,19,19,0,0
1908,NED,Cycling,0,0,0,0,5,5,0,0
1908,NED,Fencing,7,4,0,11,13,13,0,26
1908,NED,Football,12,0,0,12,12,12,0,24
1908,NED,Gymnastics,0,0,0,0,23,23,0,0
1908,NED,Rowing,4,0,0,4,4,4,0,8
1908,NED,Shooting,0,0,2,2,17,17,0,12
1908,NED,Tennis,0,0,0,0,2,2,0,0
1908,NED,Wrestling,0,0,0,0,9,9,0,0
1908,NOR,Athletics,2,3,1,6,11,11,0,19
1908,NOR,Fencing,0,0,0,0,1,1,0,0
1908,NOR,Gymnastics,2,31,16,49,30,30,0,193
1908,NOR,Rowing,0,0,0,0,9,9,0,0
1908,NOR,Sailing,0,0,0,0,5,5,0,0
1908,NOR,Shooting,3,11,13,27,13,13,0,117
1908,NOR,Wrestling,0,1,0,1,1,1,0,3
1908,RSA,Athletics,0,1,1,2,6,6,0,9
1908,RSA,Cycling,0,0,0,0,4,4,0,0
1908,RSA,Fencing,0,0,0,0,1,1,0,0
1908,RSA,Tennis,0,0,0,0,3,3,0,0
1908,RUS,Athletics,0,0,0,0,1,1,0,0
1908,RUS,Skating,0,0,1,1,1,1,0,6
1908,RUS,Wrestling,0,2,0,2,4,4,0,6
1908,SUI,Athletics,0,0,1,1,1,1,0,6
1908,SWE,Aquatics,21,1,2,24,21,21,0,57
1908,SWE,Athletics,29,12,8,49,31,31,0,142
1908,SWE,Cycling,0,0,0,0,2,2,0,0
1908,SWE,Fencing,0,0,0,0,7,7,0,0
1908,SWE,Football,0,0,0,0,14,14,0,0
1908,SWE,Gymnastics,4,0,39,43,37,37,0,242
1908,SWE,Sailing,0,5,0,5,13,13,0,15
1908,SWE,Shooting,10,47,23,80,18,18,0,299
1908,SWE,Skating,4,2,4,10,4,3,1,38
1908,SWE,Tennis,3,0,0,3,4,2,2,6
1908,SWE,Tug of War,0,0,0,0,8,8,0,0
1908,SWE,Wrestling,0,1,1,2,9,9,0,9
