,Year,Country Code,Gold,Silver,Bronze,Upper Gold,Upper Silver,Upper Bronze,Lower Gold,Lower Silver,Lower Bronze,Total,Rank
136,2028,COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
137,2028,CPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
138,2028,CRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
139,2028,CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
140,2028,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
141,2028,CMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
142,2028,BRN,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,134.5
143,2028,BOT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
144,2028,BOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
145,2028,AIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
146,2028,ALB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.5
147,2028,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
148,2028,ANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
149,2028,ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
150,2028,ARM,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,134.5
151,2028,ARU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
152,2028,ASA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
153,2028,BAH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
154,2028,BAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
155,2028,BAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
156,2028,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
157,2028,BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
158,2028,BER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
159,2028,BHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
160,2028,BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
161,2028,BIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
162,2028,DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
163,2028,ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
164,2028,ESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
165,2028,EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
166,2028,ZAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
167,2028,KSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
168,2028,KUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
169,2028,LAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
170,2028,LAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
171,2028,LBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
172,2028,LBN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
173,2028,LBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
174,2028,LCA,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
175,2028,LES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
176,2028,LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
177,2028,LUX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
178,2028,MAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
179,2028,MAR,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,134.5
180,2028,MAS,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,134.5
181,2028,MAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
182,2028,MDV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
183,2028,KIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
184,2028,MHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
185,2028,JOR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
186,2028,ISV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
187,2028,FIJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
188,2028,FIN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.5
189,2028,FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
190,2028,GAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
191,2028,GAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
192,2028,GBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
193,2028,GEQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
194,2028,GHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
195,2028,GRN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.5
196,2028,GUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
197,2028,GUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
198,2028,GUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
199,2028,GUY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
200,2028,HAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
201,2028,HON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
202,2028,IRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
203,2028,ISL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
204,2028,IVB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
205,2028,ZIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
