,Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Country Code,Is_Host,Ex-Host,Host Continent,Team Size,Participated Events,Total Events,Total Male Participants,Total Female Participants
16,3326,,Afghanistan,,,,,2028,AFG,0,0,0,6.0,5,334.0,3.0,2.0
17,1573,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1952,AHO,0,0,0,11.0,1,149.0,11.0,0.0
18,1623,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1960,AHO,0,0,0,5.0,4,150.0,5.0,0.0
19,1685,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1964,AHO,0,0,0,4.0,4,163.0,4.0,0.0
20,1733,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1968,AHO,0,0,1,5.0,4,172.0,3.0,2.0
21,1790,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1972,AHO,0,0,0,2.0,2,195.0,2.0,0.0
22,1894,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1976,AHO,0,0,0,4.0,4,198.0,4.0,0.0
23,1997,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1984,AHO,0,0,0,13.0,10,221.0,3.0,5.0
24,679,36.0,Netherlands Antilles,0.0,1.0,0.0,1.0,1988,AHO,0,0,0,4.0,4,237.0,2.0,1.0
25,2223,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1992,AHO,0,0,1,4.0,4,257.0,3.0,1.0
26,2344,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,1996,AHO,0,0,0,7.0,7,271.0,6.0,0.0
27,2458,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,2000,AHO,0,0,0,8.0,8,300.0,6.0,1.0
28,2600,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,2004,AHO,0,0,0,3.0,3,301.0,3.0,0.0
29,2699,0.0,Netherlands Antilles,0.0,0.0,0.0,0.0,2008,AHO,0,0,0,5.0,5,300.0,4.0,0.0
30,3104,0.0,AIN,0.0,0.0,0.0,0.0,2024,AIN,0,0,0,46.0,30,329.0,15.0,17.0
31,3310,,AIN,,,,,2028,AIN,0,0,0,46.0,30,329.0,15.0,17.0
32,1846,0.0,Albania,0.0,0.0,0.0,0.0,1972,ALB,0,0,1,5.0,3,195.0,4.0,1.0
33,2202,0.0,Albania,0.0,0.0,0.0,0.0,1992,ALB,0,0,0,9.0,8,257.0,5.0,2.0
34,2324,0.0,Albania,0.0,0.0,0.0,0.0,1996,ALB,0,0,0,9.0,7,271.0,3.0,4.0
35,2481,0.0,Albania,0.0,0.0,0.0,0.0,2000,ALB,0,0,0,5.0,5,300.0,2.0,2.0
36,2572,0.0,Albania,0.0,0.0,0.0,0.0,2004,ALB,0,0,1,7.0,7,301.0,5.0,2.0
37,2674,0.0,Albania,0.0,0.0,0.0,0.0,2008,ALB,0,0,0,12.0,12,302.0,7.0,4.0
38,2792,0.0,Albania,0.0,0.0,0.0,0.0,2012,ALB,0,0,0,10.0,9,302.0,6.0,3.0
39,2932,0.0,Albania,0.0,0.0,0.0,0.0,2016,ALB,0,0,0,6.0,6,306.0,3.0,3.0
40,3041,0.0,Albania,0.0,0.0,0.0,0.0,2020,ALB,0,0,0,10.0,10,339.0,6.0,3.0
41,1420,80.0,Albania,0.0,0.0,2.0,2.0,2024,ALB,0,0,1,9.0,9,329.0,5.0,3.0
42,3281,,Albania,,,,,2028,ALB,0,0,0,9.0,9,334.0,5.0,3.0
43,1707,0.0,Algeria,0.0,0.0,0.0,0.0,1964,ALG,0,0,0,7.0,7,163.0,1.0,0.0
44,1774,0.0,Algeria,0.0,0.0,0.0,0.0,1968,ALG,0,0,0,9.0,9,172.0,3.0,0.0
45,1796,0.0,Algeria,0.0,0.0,0.0,0.0,1972,ALG,0,0,0,7.0,5,195.0,5.0,0.0
46,1904,0.0,Algeria,0.0,0.0,0.0,0.0,1980,ALG,0,0,0,63.0,28,203.0,54.0,0.0
47,634,42.0,Algeria,0.0,0.0,2.0,2.0,1984,ALG,0,0,0,33.0,17,221.0,33.0,0.0
48,2042,0.0,Algeria,0.0,0.0,0.0,0.0,1988,ALG,0,0,0,45.0,29,237.0,40.0,2.0
49,725,34.0,Algeria,1.0,0.0,1.0,2.0,1992,ALG,0,0,0,36.0,27,257.0,33.0,2.0
50,789,34.0,Algeria,2.0,0.0,1.0,3.0,1996,ALG,0,0,0,47.0,29,271.0,39.0,6.0
51,876,42.0,Algeria,1.0,1.0,3.0,5.0,2000,ALG,0,0,0,51.0,42,300.0,37.0,10.0
52,2502,0.0,Algeria,0.0,0.0,0.0,0.0,2004,ALG,0,0,0,71.0,57,301.0,46.0,15.0
53,1056,68.0,Algeria,0.0,1.0,1.0,2.0,2008,ALG,0,0,0,57.0,44,302.0,34.0,22.0
54,1125,50.0,Algeria,1.0,0.0,0.0,1.0,2012,ALG,0,0,0,39.0,29,302.0,21.0,17.0
55,1224,63.0,Algeria,0.0,2.0,0.0,2.0,2016,ALG,0,0,0,74.0,48,306.0,54.0,10.0
56,2998,0.0,Algeria,0.0,0.0,0.0,0.0,2020,ALG,0,0,0,45.0,43,339.0,28.0,13.0
57,1379,39.0,Algeria,2.0,0.0,1.0,3.0,2024,ALG,0,0,0,55.0,47,329.0,27.0,19.0
58,3240,,Algeria,,,,,2028,ALG,0,0,0,50.0,45,334.0,27.0,16.0
59,1891,0.0,Andorra,0.0,0.0,0.0,0.0,1976,AND,0,0,0,3.0,2,198.0,3.0,0.0
60,1942,0.0,Andorra,0.0,0.0,0.0,0.0,1980,AND,0,0,1,2.0,1,203.0,2.0,0.0
61,2034,0.0,Andorra,0.0,0.0,0.0,0.0,1984,AND,0,0,0,2.0,1,221.0,2.0,0.0
62,2141,0.0,Andorra,0.0,0.0,0.0,0.0,1988,AND,0,0,0,4.0,3,237.0,3.0,0.0
63,2200,0.0,Andorra,0.0,0.0,0.0,0.0,1992,AND,0,0,0,8.0,5,257.0,7.0,1.0
64,2312,0.0,Andorra,0.0,0.0,0.0,0.0,1996,AND,0,0,0,8.0,7,271.0,6.0,2.0
65,2427,0.0,Andorra,0.0,0.0,0.0,0.0,2000,AND,0,0,0,5.0,5,300.0,3.0,2.0
66,2551,0.0,Andorra,0.0,0.0,0.0,0.0,2004,AND,0,0,1,6.0,6,301.0,4.0,2.0
67,2675,0.0,Andorra,0.0,0.0,0.0,0.0,2008,AND,0,0,0,5.0,5,302.0,3.0,2.0
68,2795,0.0,Andorra,0.0,0.0,0.0,0.0,2012,AND,0,0,0,6.0,6,302.0,4.0,2.0
69,2897,0.0,Andorra,0.0,0.0,0.0,0.0,2016,AND,0,0,0,4.0,4,306.0,2.0,2.0
70,3061,0.0,Andorra,0.0,0.0,0.0,0.0,2020,AND,0,0,0,3.0,3,339.0,1.0,1.0
71,3152,0.0,Andorra,0.0,0.0,0.0,0.0,2024,AND,0,0,1,4.0,4,329.0,1.0,1.0
72,3358,,Andorra,,,,,2028,AND,0,0,0,3.0,3,334.0,1.0,1.0
73,1933,0.0,Angola,0.0,0.0,0.0,0.0,1980,ANG,0,0,0,17.0,14,203.0,10.0,1.0
74,2102,0.0,Angola,0.0,0.0,0.0,0.0,1988,ANG,0,0,0,33.0,27,237.0,19.0,5.0
75,2213,0.0,Angola,0.0,0.0,0.0,0.0,1992,ANG,0,0,0,33.0,21,257.0,25.0,3.0
76,2326,0.0,Angola,0.0,0.0,0.0,0.0,1996,ANG,0,0,0,30.0,8,271.0,13.0,15.0
77,2385,0.0,Angola,0.0,0.0,0.0,0.0,2000,ANG,0,0,0,30.0,7,300.0,15.0,15.0
78,2525,0.0,Angola,0.0,0.0,0.0,0.0,2004,ANG,0,0,0,30.0,5,301.0,14.0,16.0
79,2623,0.0,Angola,0.0,0.0,0.0,0.0,2008,ANG,0,0,0,33.0,8,302.0,17.0,15.0
80,2768,0.0,Angola,0.0,0.0,0.0,0.0,2012,ANG,0,0,0,35.0,10,302.0,4.0,29.0
81,2872,0.0,Angola,0.0,0.0,0.0,0.0,2016,ANG,0,0,0,26.0,10,306.0,8.0,18.0
82,2988,0.0,Angola,0.0,0.0,0.0,0.0,2020,ANG,0,0,0,20.0,6,339.0,4.0,16.0
83,3159,0.0,Angola,0.0,0.0,0.0,0.0,2024,ANG,0,0,0,26.0,10,329.0,8.0,17.0
84,3365,,Angola,,,,,2028,ANG,0,0,0,23.0,8,334.0,6.0,16.0
85,1887,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,1976,ANT,0,0,1,17.0,11,198.0,10.0,0.0
86,2000,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,1984,ANT,0,0,1,27.0,17,221.0,10.0,4.0
87,2117,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,1988,ANT,0,0,0,25.0,19,237.0,12.0,3.0
88,2187,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,1992,ANT,0,0,0,18.0,15,257.0,9.0,4.0
89,2314,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,1996,ANT,0,0,1,19.0,9,271.0,8.0,5.0
90,2419,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2000,ANT,0,0,0,4.0,4,300.0,2.0,1.0
91,2544,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2004,ANT,0,0,0,5.0,5,301.0,3.0,2.0
92,2664,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2008,ANT,0,0,0,5.0,5,302.0,4.0,1.0
93,2783,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2012,ANT,0,0,0,4.0,4,302.0,2.0,2.0
94,2908,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2016,ANT,0,0,0,9.0,5,306.0,6.0,2.0
95,3071,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2020,ANT,0,0,0,6.0,6,339.0,3.0,3.0
96,3136,0.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,2024,ANT,0,0,0,5.0,5,329.0,3.0,2.0
97,3342,,Antigua and Barbuda,,,,,2028,ANT,0,0,1,5.0,5,334.0,3.0,2.0
98,52,11.0,Australasia,1.0,2.0,2.0,5.0,1908,ANZ,0,0,1,48.0,20,110.0,31.0,0.0
99,72,12.0,Australasia,2.0,2.0,3.0,7.0,1912,ANZ,0,0,0,48.0,20,110.0,31.0,0.0
100,1434,0.0,Argentina,0.0,0.0,0.0,0.0,1900,ARG,0,0,0,1.0,1,97.0,1.0,0.0
101,1449,0.0,Argentina,0.0,0.0,0.0,0.0,1908,ARG,0,0,0,1.0,1,110.0,1.0,0.0
102,1468,0.0,Argentina,0.0,0.0,0.0,0.0,1920,ARG,0,0,0,1.0,1,156.0,1.0,0.0
103,116,16.0,Argentina,1.0,3.0,2.0,6.0,1924,ARG,0,0,0,109.0,39,126.0,77.0,0.0
104,139,12.0,Argentina,3.0,3.0,1.0,7.0,1928,ARG,0,0,0,98.0,40,109.0,81.0,0.0
105,172,12.0,Argentina,3.0,1.0,0.0,4.0,1932,ARG,0,0,0,47.0,30,117.0,33.0,0.0
106,202,14.0,Argentina,2.0,2.0,3.0,7.0,1936,ARG,0,0,0,68.0,31,129.0,50.0,1.0
107,233,13.0,Argentina,3.0,3.0,1.0,7.0,1948,ARG,0,0,0,295.0,101,136.0,188.0,11.0
108,276,19.0,Argentina,1.0,2.0,2.0,5.0,1952,ARG,0,0,0,174.0,77,149.0,115.0,8.0
109,329,29.0,Argentina,0.0,1.0,1.0,2.0,1956,ARG,0,0,0,44.0,32,151.0,34.0,1.0
110,368,30.0,Argentina,0.0,1.0,1.0,2.0,1960,ARG,0,0,0,116.0,54,150.0,91.0,1.0
111,412,30.0,Argentina,0.0,1.0,0.0,1.0,1964,ARG,0,0,0,148.0,78,163.0,96.0,6.0
112,464,41.0,Argentina,0.0,0.0,2.0,2.0,1968,ARG,0,0,0,132.0,60,172.0,84.0,5.0
113,500,33.0,Argentina,0.0,1.0,0.0,1.0,1972,ARG,0,0,0,123.0,62,195.0,88.0,4.0
114,1856,0.0,Argentina,0.0,0.0,0.0,0.0,1976,ARG,0,0,0,106.0,50,198.0,65.0,4.0
115,1967,0.0,Argentina,0.0,0.0,0.0,0.0,1984,ARG,0,0,0,115.0,70,221.0,71.0,10.0
116,674,35.0,Argentina,0.0,1.0,1.0,2.0,1988,ARG,0,0,0,134.0,53,237.0,93.0,25.0
117,745,54.0,Argentina,0.0,0.0,1.0,1.0,1992,ARG,0,0,0,111.0,68,257.0,67.0,17.0
118,809,54.0,Argentina,0.0,2.0,1.0,3.0,1996,ARG,0,0,0,221.0,102,271.0,132.0,47.0
119,891,57.0,Argentina,0.0,2.0,2.0,4.0,2000,ARG,0,0,0,165.0,98,300.0,98.0,44.0
120,952,38.0,Argentina,2.0,0.0,4.0,6.0,2004,ARG,0,0,0,179.0,86,301.0,106.0,45.0
121,1023,35.0,Argentina,2.0,0.0,4.0,6.0,2008,ARG,0,0,0,145.0,71,302.0,79.0,52.0
122,1117,42.0,Argentina,1.0,1.0,2.0,4.0,2012,ARG,0,0,0,148.0,66,302.0,97.0,40.0
123,1187,26.0,Argentina,3.0,1.0,0.0,4.0,2016,ARG,0,0,1,232.0,80,306.0,140.0,75.0
124,1319,72.0,Argentina,0.0,1.0,2.0,3.0,2020,ARG,0,0,0,208.0,61,339.0,131.0,58.0
125,1392,52.0,Argentina,1.0,1.0,1.0,3.0,2024,ARG,0,0,0,154.0,41,329.0,110.0,33.0
126,3253,,Argentina,,,,,2028,ARG,0,0,0,181.0,51,334.0,120.0,45.0
127,800,45.0,Armenia,1.0,1.0,0.0,2.0,1996,ARM,0,0,0,38.0,36,271.0,30.0,2.0
128,905,71.0,Armenia,0.0,0.0,1.0,1.0,2000,ARM,0,0,0,26.0,26,300.0,23.0,2.0
129,2503,0.0,Armenia,0.0,0.0,0.0,0.0,2004,ARM,0,0,1,19.0,19,301.0,16.0,2.0
130,1050,62.0,Armenia,0.0,1.0,4.0,5.0,2008,ARM,0,0,0,26.0,24,302.0,22.0,2.0
131,1140,65.0,Armenia,0.0,1.0,1.0,2.0,2012,ARM,0,0,0,31.0,30,302.0,20.0,4.0
132,1203,42.0,Armenia,1.0,3.0,0.0,4.0,2016,ARM,0,0,0,34.0,32,306.0,24.0,7.0
133,1316,69.0,Armenia,0.0,2.0,2.0,4.0,2020,ARM,0,0,0,19.0,19,339.0,14.0,3.0
134,1406,66.0,Armenia,0.0,3.0,1.0,4.0,2024,ARM,0,0,1,17.0,16,329.0,13.0,2.0
135,3267,,Armenia,,,,,2028,ARM,0,0,0,18.0,17,334.0,13.0,2.0
136,2138,0.0,ARU,0.0,0.0,0.0,0.0,1988,ARU,0,0,0,12.0,10,237.0,4.0,4.0
137,2227,0.0,ARU,0.0,0.0,0.0,0.0,1992,ARU,0,0,0,5.0,4,257.0,4.0,1.0
138,2350,0.0,ARU,0.0,0.0,0.0,0.0,1996,ARU,0,0,1,3.0,3,271.0,3.0,0.0
139,2430,0.0,ARU,0.0,0.0,0.0,0.0,2000,ARU,0,0,0,5.0,5,300.0,3.0,2.0
140,2554,0.0,ARU,0.0,0.0,0.0,0.0,2004,ARU,0,0,0,4.0,4,301.0,3.0,1.0
141,2732,0.0,ARU,0.0,0.0,0.0,0.0,2008,ARU,0,0,0,2.0,2,302.0,2.0,0.0
142,2837,0.0,ARU,0.0,0.0,0.0,0.0,2012,ARU,0,0,0,4.0,4,302.0,3.0,1.0
143,2969,0.0,ARU,0.0,0.0,0.0,0.0,2016,ARU,0,0,0,7.0,6,306.0,3.0,4.0
144,3062,0.0,ARU,0.0,0.0,0.0,0.0,2020,ARU,0,0,0,4.0,4,339.0,2.0,1.0
145,3110,0.0,ARU,0.0,0.0,0.0,0.0,2024,ARU,0,0,0,7.0,7,329.0,4.0,2.0
146,3316,,ARU,,,,,2028,ARU,0,0,1,5.0,5,334.0,3.0,1.0
147,2136,0.0,ASA,0.0,0.0,0.0,0.0,1988,ASA,0,0,0,6.0,6,237.0,6.0,0.0
148,2208,0.0,ASA,0.0,0.0,0.0,0.0,1992,ASA,0,0,1,3.0,3,257.0,3.0,0.0
149,2337,0.0,ASA,0.0,0.0,0.0,0.0,1996,ASA,0,0,0,7.0,6,271.0,6.0,1.0
150,2484,0.0,ASA,0.0,0.0,0.0,0.0,2000,ASA,0,0,0,4.0,4,300.0,3.0,1.0
151,2609,0.0,ASA,0.0,0.0,0.0,0.0,2004,ASA,0,0,0,3.0,3,301.0,2.0,1.0
152,2627,0.0,ASA,0.0,0.0,0.0,0.0,2008,ASA,0,0,0,4.0,4,302.0,2.0,2.0
153,2825,0.0,ASA,0.0,0.0,0.0,0.0,2012,ASA,0,0,1,4.0,4,302.0,3.0,1.0
154,2959,0.0,ASA,0.0,0.0,0.0,0.0,2016,ASA,0,0,0,4.0,4,306.0,3.0,1.0
155,3050,0.0,ASA,0.0,0.0,0.0,0.0,2020,ASA,0,0,0,6.0,5,339.0,5.0,1.0
156,3195,0.0,ASA,0.0,0.0,0.0,0.0,2024,ASA,0,0,0,2.0,2,329.0,1.0,1.0
157,3401,,ASA,,,,,2028,ASA,0,0,0,4.0,3,334.0,3.0,1.0
158,7,8.0,Australia,2.0,0.0,0.0,2.0,1896,AUS,0,0,0,5.0,5,43.0,2.0,0.0
159,17,9.0,Australia,2.0,0.0,3.0,5.0,1900,AUS,0,0,0,6.0,6,97.0,2.0,0.0
160,40,12.0,Australia,0.0,3.0,1.0,4.0,1904,AUS,0,0,0,6.0,6,95.0,2.0,0.0
161,94,16.0,Australia,0.0,2.0,1.0,3.0,1920,AUS,0,0,0,29.0,19,156.0,12.0,1.0
162,111,11.0,Australia,3.0,1.0,2.0,6.0,1924,AUS,0,0,0,60.0,31,126.0,35.0,1.0
163,146,19.0,Australia,1.0,2.0,1.0,4.0,1928,AUS,0,0,0,29.0,26,109.0,15.0,4.0
164,171,11.0,Australia,3.0,1.0,1.0,5.0,1932,AUS,0,0,0,20.0,17,117.0,9.0,4.0
165,218,30.0,Australia,0.0,0.0,1.0,1.0,1936,AUS,0,0,0,39.0,26,129.0,28.0,4.0
166,234,14.0,Australia,2.0,6.0,5.0,13.0,1948,AUS,0,0,0,103.0,52,136.0,66.0,9.0
167,266,9.0,Australia,6.0,2.0,3.0,11.0,1952,AUS,0,0,0,140.0,67,149.0,71.0,10.0
168,303,3.0,Australia,13.0,8.0,14.0,35.0,1956,AUS,1,1,1,412.0,143,151.0,254.0,44.0
169,343,5.0,Australia,8.0,8.0,6.0,22.0,1960,AUS,0,1,0,280.0,122,150.0,161.0,29.0
170,390,8.0,Australia,6.0,2.0,10.0,18.0,1964,AUS,0,1,0,392.0,133,163.0,203.0,40.0
171,432,9.0,Australia,5.0,7.0,5.0,17.0,1968,AUS,0,1,0,224.0,105,172.0,106.0,24.0
172,473,6.0,Australia,8.0,7.0,2.0,17.0,1972,AUS,0,1,0,266.0,110,195.0,139.0,29.0
173,547,32.0,Australia,0.0,1.0,4.0,5.0,1976,AUS,0,1,0,274.0,115,198.0,146.0,34.0
174,571,15.0,Australia,2.0,2.0,5.0,9.0,1980,AUS,0,1,0,190.0,92,203.0,92.0,28.0
175,606,14.0,Australia,4.0,8.0,12.0,24.0,1984,AUS,0,1,0,337.0,137,221.0,169.0,73.0
176,654,15.0,Australia,3.0,6.0,5.0,14.0,1988,AUS,0,1,0,339.0,145,237.0,180.0,72.0
177,701,10.0,Australia,7.0,9.0,11.0,27.0,1992,AUS,0,1,0,390.0,153,257.0,187.0,92.0
178,762,7.0,Australia,9.0,9.0,23.0,41.0,1996,AUS,0,1,0,550.0,211,271.0,250.0,167.0
179,838,4.0,Australia,16.0,25.0,17.0,58.0,2000,AUS,1,2,1,788.0,270,300.0,341.0,276.0
180,918,4.0,Australia,17.0,16.0,17.0,50.0,2004,AUS,0,2,0,601.0,219,301.0,268.0,202.0
181,994,6.0,Australia,14.0,15.0,17.0,46.0,2008,AUS,0,2,0,570.0,219,302.0,233.0,199.0
182,1083,8.0,Australia,8.0,15.0,12.0,35.0,2012,AUS,0,2,0,514.0,208,302.0,221.0,184.0
183,1171,10.0,Australia,8.0,11.0,10.0,29.0,2016,AUS,0,2,0,518.0,194,306.0,208.0,212.0
184,1253,6.0,Australia,17.0,7.0,22.0,46.0,2020,AUS,0,2,0,638.0,193,339.0,228.0,261.0
185,1344,4.0,Australia,18.0,19.0,16.0,53.0,2024,AUS,0,2,0,649.0,205,329.0,210.0,265.0
186,3205,,Australia,,,,,2028,AUS,0,2,0,643.0,199,334.0,219.0,263.0
187,6,7.0,Austria,2.0,1.0,2.0,5.0,1896,AUT,0,0,1,8.0,8,43.0,4.0,0.0
188,24,16.0,Austria,0.0,3.0,3.0,6.0,1900,AUT,0,0,1,26.0,17,97.0,16.0,0.0
189,36,8.0,Austria,1.0,1.0,1.0,3.0,1904,AUT,0,0,0,7.0,7,95.0,2.0,0.0
190,60,19.0,Austria,0.0,0.0,1.0,1.0,1908,AUT,0,0,0,13.0,10,110.0,7.0,0.0
191,77,17.0,Austria,0.0,2.0,2.0,4.0,1912,AUT,0,0,1,132.0,46,102.0,80.0,6.0
192,120,20.0,Austria,0.0,3.0,1.0,4.0,1924,AUT,0,0,1,56.0,27,126.0,46.0,3.0
193,145,18.0,Austria,2.0,0.0,1.0,3.0,1928,AUT,0,0,1,113.0,39,109.0,67.0,6.0
194,178,18.0,Austria,1.0,1.0,3.0,5.0,1932,AUT,0,0,0,33.0,14,117.0,17.0,2.0
195,198,10.0,Austria,5.0,7.0,5.0,17.0,1936,AUT,0,0,1,363.0,105,129.0,217.0,17.0
196,241,21.0,Austria,1.0,0.0,3.0,4.0,1948,AUT,0,0,0,239.0,79,136.0,116.0,32.0
197,289,32.0,Austria,0.0,1.0,1.0,2.0,1952,AUT,0,0,1,238.0,70,149.0,91.0,21.0
198,334,34.0,Austria,0.0,0.0,2.0,2.0,1956,AUT,0,0,0,57.0,36,151.0,29.0,5.0
199,356,18.0,Austria,1.0,1.0,0.0,2.0,1960,AUT,0,0,1,198.0,81,150.0,82.0,21.0
200,1668,0.0,Austria,0.0,0.0,0.0,0.0,1964,AUT,0,0,0,82.0,54,163.0,48.0,11.0
201,455,32.0,Austria,0.0,2.0,2.0,4.0,1968,AUT,0,0,0,59.0,37,172.0,35.0,8.0
202,498,31.0,Austria,0.0,1.0,2.0,3.0,1972,AUT,0,0,1,143.0,68,195.0,97.0,14.0
203,552,37.0,Austria,0.0,0.0,1.0,1.0,1976,AUT,0,0,0,73.0,44,198.0,54.0,6.0
204,577,21.0,Austria,1.0,2.0,1.0,4.0,1980,AUT,0,0,1,92.0,51,203.0,64.0,19.0
205,614,22.0,Austria,1.0,1.0,1.0,3.0,1984,AUT,0,0,0,130.0,72,221.0,71.0,31.0
206,668,29.0,Austria,1.0,0.0,0.0,1.0,1988,AUT,0,0,0,96.0,62,237.0,66.0,7.0
207,732,41.0,Austria,0.0,2.0,0.0,2.0,1992,AUT,0,0,0,127.0,68,257.0,71.0,31.0
208,812,57.0,Austria,0.0,1.0,2.0,3.0,1996,AUT,0,0,0,92.0,53,271.0,56.0,16.0
209,866,32.0,Austria,2.0,1.0,0.0,3.0,2000,AUT,0,0,0,114.0,68,300.0,55.0,37.0
210,941,27.0,Austria,2.0,4.0,1.0,7.0,2004,AUT,0,0,1,92.0,56,301.0,54.0,20.0
211,1052,64.0,Austria,0.0,1.0,2.0,3.0,2008,AUT,0,0,0,93.0,62,302.0,40.0,30.0
212,2770,0.0,Austria,0.0,0.0,0.0,0.0,2012,AUT,0,0,0,90.0,69,302.0,39.0,31.0
213,1239,78.0,Austria,0.0,0.0,1.0,1.0,2016,AUT,0,0,0,85.0,61,306.0,37.0,34.0
214,1300,53.0,Austria,1.0,1.0,5.0,7.0,2020,AUT,0,0,0,103.0,70,339.0,37.0,39.0
215,1376,36.0,Austria,2.0,0.0,3.0,5.0,2024,AUT,0,0,1,121.0,76,329.0,47.0,37.0
216,3237,,Austria,,,,,2028,AUT,0,0,0,112.0,73,334.0,42.0,38.0
217,816,61.0,Azerbaijan,0.0,1.0,0.0,1.0,1996,AZE,0,0,0,24.0,23,271.0,20.0,3.0
218,868,34.0,Azerbaijan,2.0,0.0,1.0,3.0,2000,AZE,0,0,0,32.0,32,300.0,25.0,6.0
219,964,50.0,Azerbaijan,1.0,0.0,4.0,5.0,2004,AZE,0,0,0,37.0,36,301.0,30.0,6.0
220,1028,40.0,Azerbaijan,1.0,1.0,4.0,6.0,2008,AZE,0,0,1,44.0,37,302.0,30.0,14.0
221,1107,32.0,Azerbaijan,2.0,2.0,5.0,9.0,2012,AZE,0,0,0,59.0,57,302.0,38.0,14.0
222,1200,39.0,Azerbaijan,1.0,7.0,10.0,18.0,2016,AZE,0,0,0,69.0,62,306.0,42.0,14.0
223,1314,67.0,Azerbaijan,0.0,3.0,4.0,7.0,2020,AZE,0,0,1,55.0,51,339.0,28.0,16.0
224,1370,30.0,Azerbaijan,2.0,2.0,3.0,7.0,2024,AZE,0,0,0,49.0,41,329.0,28.0,20.0
225,3231,,Azerbaijan,,,,,2028,AZE,0,0,0,52.0,46,334.0,28.0,18.0
226,1563,0.0,Bahamas,0.0,0.0,0.0,0.0,1952,BAH,0,0,0,7.0,3,149.0,7.0,0.0
227,335,35.0,Bahamas,0.0,0.0,1.0,1.0,1956,BAH,0,0,0,5.0,4,151.0,4.0,0.0
228,1630,0.0,Bahamas,0.0,0.0,0.0,0.0,1960,BAH,0,0,0,14.0,8,150.0,13.0,0.0
